id,struct_id,type
4550,4803,ORGANIC
4490,4755,RADIOPHARMACEUTICAL
4491,4755,COORDINATION
4492,4755,POLYMER
4493,4756,COORDINATION
4494,4757,ORGANIC
4495,4758,ORGANIC
4496,4028,MIXTURE
4497,4759,COORDINATION
4498,4759,ORGANIC SALT
4499,4760,UNKNOWN
4500,4761,COORDINATION
4501,4762,COORDINATION
4502,4763,COORDINATION
4503,4764,ORGANIC SALT
4506,4767,COORDINATION
4507,4767,ORGANIC SALT
4508,4768,ORGANIC
4509,4769,ORGANIC
4510,4770,ORGANIC
4511,4771,ORGANIC
4512,4772,ORGANIC
4513,4773,ORGANIC
4514,4774,ORGANIC
4515,4775,RADIOPHARMACEUTICAL
4516,4776,MIXTURE
4517,4777,INORGANIC SALT
4518,4777,COORDINATION
4519,4778,ORGANIC
4477,4745,ORGANIC
4478,4746,ORGANIC
4479,4747,OLIGONUCLEOTIDE
4480,4748,ORGANIC
4482,4234,PEPTIDE
4483,4749,ORGANIC
4484,4750,ORGANIC
4485,4751,OLIGONUCLEOTIDE
4487,4752,ORGANIC
4488,4753,COORDINATION
4489,4754,COORDINATION
1,3152,POLYMER
2,727,POLYMER
3,4048,POLYMER
4,1447,POLYMER
5,3957,POLYMER
6,3482,POLYMER
7,4234,POLYMER
8,4249,POLYMER
9,4253,POLYMER
10,4278,POLYMER
11,4279,POLYMER
12,4324,POLYMER
13,4331,POLYMER
14,4405,POLYMER
15,4487,POLYMER
16,4614,POLYMER
17,4632,POLYMER
19,2577,MIXTURE
20,901,ORGANIC SALT
21,2203,MIXTURE
22,1436,MIXTURE
23,2047,ORGANIC
24,2162,MIXTURE
25,3891,MIXTURE
26,3974,MIXTURE
27,2084,MIXTURE
28,3063,MIXTURE
29,3875,MIXTURE
30,3489,MIXTURE
31,3972,MIXTURE
32,3864,MIXTURE
34,4430,MIXTURE
35,4232,MIXTURE
36,4247,MIXTURE
37,4265,MIXTURE
38,4307,MIXTURE
40,4316,MIXTURE
41,4317,MIXTURE
42,4333,MIXTURE
43,4335,MIXTURE
44,4358,MIXTURE
45,4360,MIXTURE
46,4362,MIXTURE
48,4387,MIXTURE
49,4426,MIXTURE
50,4425,MIXTURE
51,4445,MIXTURE
52,4473,MIXTURE
53,4534,MIXTURE
54,4576,MIXTURE
55,4623,MIXTURE
60,2443,MIXTURE
62,4104,UNKNOWN
63,2097,UNKNOWN
68,2973,POLYMER
71,2997,PEPTIDE
72,731,MIXTURE
75,4431,UNKNOWN
78,4391,UNKNOWN
79,4246,MIXTURE
80,4186,PEPTIDE
85,4119,PEPTIDE
88,2645,PEPTIDE
89,3180,PEPTIDE
90,2830,PEPTIDE
91,2088,PEPTIDE
92,2232,PEPTIDE
93,1040,PEPTIDE
94,3542,PEPTIDE
95,3069,PEPTIDE
96,579,PEPTIDE
97,495,PEPTIDE
98,3008,PEPTIDE
99,2042,PEPTIDE
100,3126,PEPTIDE
101,1980,PEPTIDE
102,2349,ORGANIC
104,817,PEPTIDE
105,2810,PEPTIDE
106,2959,PEPTIDE
107,1546,PEPTIDE
108,2977,PEPTIDE
110,2958,PEPTIDE
111,2955,PEPTIDE
112,2580,PEPTIDE
113,760,PEPTIDE
114,1559,PEPTIDE
116,2967,PEPTIDE
117,436,PEPTIDE
118,774,PEPTIDE
119,1327,PEPTIDE
120,1798,PEPTIDE
122,2968,PEPTIDE
123,1868,PEPTIDE
124,2975,PEPTIDE
125,2954,PEPTIDE
126,35,PEPTIDE
127,583,PEPTIDE
128,2807,PEPTIDE
129,1279,PEPTIDE
130,783,PEPTIDE
132,4116,PEPTIDE
133,777,PEPTIDE
134,139,PEPTIDE
135,385,PEPTIDE
136,2878,PEPTIDE
137,2548,PEPTIDE
139,515,PEPTIDE
140,2643,PEPTIDE
141,2433,PEPTIDE
142,994,PEPTIDE
143,2989,PEPTIDE
144,4429,PEPTIDE
145,1901,PEPTIDE
146,2236,PEPTIDE
147,1123,PEPTIDE
148,1010,PEPTIDE
149,2990,PEPTIDE
150,2995,PEPTIDE
151,4164,PEPTIDE
152,4170,PEPTIDE
154,4329,PEPTIDE
155,4627,PEPTIDE
156,4338,PEPTIDE
157,4357,PEPTIDE
159,4366,PEPTIDE
160,4379,PEPTIDE
161,4427,PEPTIDE
162,4483,PEPTIDE
163,4516,PEPTIDE
164,4514,PEPTIDE
165,4622,PEPTIDE
166,4236,ORGANIC
167,4241,ORGANIC
168,4242,ORGANIC
169,4245,ORGANIC
170,4229,ORGANIC
173,4220,ORGANIC
174,4221,ORGANIC
176,4223,ORGANIC
177,4224,ORGANIC
178,4225,ORGANIC
179,4226,ORGANIC
180,4187,ORGANIC
181,4188,ORGANIC
182,4189,ORGANIC
183,3244,ORGANIC
185,1076,ORGANIC
186,1344,ORGANIC
187,3196,ORGANIC
188,3645,ORGANIC
189,3495,ORGANIC
190,1319,ORGANIC
191,58,ORGANIC
192,1399,ORGANIC
193,4024,ORGANIC
194,768,ORGANIC
195,906,ORGANIC
196,1233,ORGANIC
197,2188,ORGANIC
201,787,ORGANIC
203,1533,ORGANIC
204,1316,ORGANIC
206,1687,ORGANIC
207,3267,ORGANIC
210,759,ORGANIC
211,1262,ORGANIC
213,3097,ORGANIC
214,334,ORGANIC
215,172,ORGANIC
216,1921,ORGANIC
217,3524,ORGANIC
218,3282,ORGANIC
219,1375,ORGANIC
220,357,ORGANIC
221,1745,ORGANIC
222,3637,ORGANIC
223,3353,ORGANIC
224,3229,ORGANIC
228,2487,ORGANIC
229,347,ORGANIC
230,1263,ORGANIC
231,3414,ORGANIC
232,3391,ORGANIC
233,2771,ORGANIC
234,769,ORGANIC
235,1906,ORGANIC
236,2835,ORGANIC
237,2328,ORGANIC
238,1334,ORGANIC
239,3150,ORGANIC
240,1241,ORGANIC
241,3242,ORGANIC
243,2153,ORGANIC
244,1994,ORGANIC
245,3508,ORGANIC
247,2640,ORGANIC
249,862,ORGANIC
250,1188,ORGANIC
252,2819,ORGANIC
253,1725,ORGANIC
254,1978,ORGANIC
255,26,ORGANIC
256,166,ORGANIC
