struct_id,atc_code,id
4365,C01BG11,651
1101,C01CA01,652
1499,C01CA02,653
1960,C01CA03,654
947,C01CA04,655
1966,C01CA05,656
2146,C01CA06,657
937,C01CA07,658
3577,C01CA08,659
1721,C01CA09,660
1753,C01CA10,661
1694,C01CA11,662
909,C01CA12,663
2258,C01CA13,664
948,C01CA14,665
1290,C01CA15,666
1405,C01CA16,667
1803,C01CA17,668
3396,C01CA18,669
1153,C01CA19,670
462,C01CA21,671
237,C01CA22,672
2619,C01CA23,673
1028,C01CA24,674
153,C01CA25,675
1024,C01CA26,676
971,C01CA27,677
201,C01CE01,678
1809,C01CE02,679
1014,C01CE03,680
415,C01CE04,681
4338,C01CX06,682
2848,C01CX07,683
1576,C01CX08,684
5272,C01CX09,685
1952,C01DA02,686
2087,C01DA05,687
2295,C01DA07,688
1505,C01DA08,689
2770,C01DA09,690
1047,C01DA13,691
1506,C01DA14,692
2591,C01DA38,693
1182,C01DB01,694
4583,C01DX01,695
2261,C01DX02,696
2030,C01DX03,697
321,C01DX04,698
3098,C01DX05,699
1370,C01DX06,700
1069,C01DX07,701
1361,C01DX08,702
1430,C01DX09,703
893,C01DX10,704
3621,C01DX11,705
1831,C01DX12,706
991,C01DX13,707
650,C01DX14,708
3106,C01DX15,709
1919,C01DX16,710
4589,C01DX18,711
1901,C01DX19,712
5439,C01DX22,713
138,C01EA01,714
470,C01EB02,715
1440,C01EB03,716
739,C01EB05,717
3464,C01EB06,718
4607,C01EB09,719
90,C01EB10,720
2679,C01EB11,721
37,C01EB13,722
2750,C01EB15,723
1407,C01EB16,724
3312,C01EB17,725
2359,C01EB18,726
2362,C01EB21,727
3995,C01EB22,728
2369,C02AA01,729
2370,C02AA02,730
810,C02AA05,731
1750,C02AA06,732
3687,C02AA07,733
1762,C02AB01,734
704,C02AC01,735
1343,C02AC02,736
2700,C02AC04,737
1856,C02AC05,738
2381,C02AC06,739
2752,C02BA01,740
1646,C02BB01,741
4209,C02CA01,742
1443,C02CA02,743
2747,C02CA03,744
954,C02CA04,745
2796,C02CA06,746
359,C02CC01,747
1342,C02CC02,748
1346,C02CC03,749
788,C02CC04,750
4564,C02CC05,751
3455,C02CC06,752
1345,C02CC07,753
854,C02DA01,754
884,C02DB01,755
1384,C02DB02,756
1008,C02DB03,757
461,C02DB04,758
1814,C02DC01,759
4631,C02DD01,760
2173,C02DG01,761
1792,C02KB01,762
2065,C02KC01,763
1524,C02KD01,764
392,C02KX01,765
4337,C02KX02,766
3548,C02KX03,767
4809,C02KX04,768
4807,C02KX05,769
305,C03AA01,770
1392,C03AA02,771
1385,C03AA03,772
609,C03AA04,773
2228,C03AA05,774
2733,C03AA06,775
756,C03AA07,776
1759,C03AA08,777
761,C03AA09,778
1645,C03AA13,779
2343,C03BA02,780
706,C03BA03,781
625,C03BA04,782
1666,C03BA05,783
693,C03BA07,784
1783,C03BA08,785
1777,C03BA09,786
2853,C03BA10,787
1433,C03BA11,788
712,C03BA12,789
1162,C03BA13,790
4657,C03BC01,791
2618,C03BD01,792
634,C03BX03,793
1258,C03CA01,794
427,C03CA02,795
2201,C03CA03,796
2708,C03CA04,797
1071,C03CC01,798
2658,C03CC02,799
1858,C03CD01,800
1114,C03CX01,801
2475,C03DA01,802
477,C03DA02,803
478,C03DA03,804
1032,C03DA04,805
158,C03DB01,806
2728,C03DB02,807
4110,C03XA01,808
732,C03XA02,809
1510,C04AA01,810
1976,C04AA02,811
286,C04AA31,812
2142,C04AB01,813
2695,C04AB02,814
2835,C04AC01,815
1445,C04AC03,816
3908,C04AC07,817
2094,C04AD01,818
4368,C04AD02,819
2099,C04AD03,820
3212,C04AD04,821
5035,C04AE01,822
1910,C04AE02,823
887,C04AE04,824
747,C04AX01,825
2136,C04AX02,826
3643,C04AX07,827
1855,C04AX10,828
301,C04AX11,829
2824,C04AX17,830
2536,C04AX19,831
422,C04AX20,832
1870,C04AX21,833
440,C04AX23,834
3649,C04AX24,835
580,C04AX26,836
651,C04AX27,837
1419,C04AX28,838
265,C04AX30,839
1132,C04AX32,840
1388,C05AA01,841
2245,C05AA04,842
348,C05AA05,843
1208,C05AA06,844
1206,C05AA08,845
824,C05AA09,846
1204,C05AA10,847
1205,C05AA11,848
2725,C05AA12,849
1579,C05AD01,850
2610,C05AD02,851
323,C05AD03,852
859,C05AD04,853
2271,C05AD05,854
3407,C05AD06,855
3487,C05AD07,856
1952,C05AE01,857
1505,C05AE02,858
897,C05AE03,859
2730,C05AX05,860
4705,C05BA02,861
1358,C05BA03,862
2097,C05BA04,863
4086,C05BB01,864
4614,C05BB02,865
3550,C05BB04,866
4266,C05BB05,867
936,C05BX01,868
3535,C05CA01,869
1835,C05CA02,870
3157,C05CA03,871
2778,C05CA04,872
3956,C05CA05,873
2730,C05CX01,874
1871,C05CX02,875
137,C07AA01,876
2027,C07AA02,877
2176,C07AA03,878
2303,C07AA05,879
4061,C07AA06,880
2464,C07AA07,881
1865,C07AA12,882
1697,C07AA14,883
520,C07AA15,884
2605,C07AA16,885
389,C07AA17,886
433,C07AA19,887
2078,C07AA23,888
710,C07AA27,889
3486,C07AB01,890
1786,C07AB02,891
255,C07AB03,892
40,C07AB04,893
356,C07AB05,894
360,C07AB06,895
380,C07AB07,896
569,C07AB08,897
1054,C07AB09,898
4467,C07AB10,899
4702,C07AB11,900
1887,C07AB12,901
2557,C07AB13,902
1545,C07AB14,903
1531,C07AG01,904
522,C07AG02,905
183,C08CA01,906
1142,C08CA02,907
1511,C08CA03,908
1909,C08CA04,909
1922,C08CA05,910
1937,C08CA06,911
1942,C08CA07,912
1947,C08CA08,913
1532,C08CA09,914
1934,C08CA10,915
1631,C08CA11,916
290,C08CA12,917
4157,C08CA13,918
642,C08CA14,919
3880,C08CA15,920
674,C08CA16,921
1797,C08CX01,922
2815,C08DA01,923
1275,C08DA02,924
897,C08DB01,925
1148,C08EA01,926
342,C08EA02,927
1580,C08EX01,928
2106,C08EX02,929
484,C09AA01,930
1005,C09AA02,931
1587,C09AA03,932
2108,C09AA04,933
2356,C09AA05,934
2340,C09AA06,935
299,C09AA07,936
641,C09AA08,937
1245,C09AA09,938
2712,C09AA10,939
2474,C09AA11,940
798,C09AA12,941
1827,C09AA13,942
2586,C09AA14,943
2866,C09AA15,944
1424,C09AA16,945
1610,C09CA01,946
1037,C09CA02,947
2806,C09CA03,948
1481,C09CA04,949
3839,C09CA05,950
2583,C09CA07,951
1985,C09CA08,952
4322,C09CA09,953
4906,C09CA10,954
4696,C09XA01,955
119,C09XA02,956
2445,C10AA01,957
1612,C10AA02,958
2239,C10AA03,959
1229,C10AA04,960
257,C10AA05,961
577,C10AA06,962
2406,C10AA07,963
2214,C10AA08,964
694,C10AB01,965
362,C10AB02,966
4437,C10AB03,967
1285,C10AB04,968
1152,C10AB05,969
2444,C10AB06,970
2401,C10AB07,971
658,C10AB08,972
1106,C10AB09,973
696,C10AB10,974
4505,C10AB11,975
727,C10AC01,976
728,C10AC02,977
4852,C10AC03,978
4405,C10AC04,979
1911,C10AD01,980
2835,C10AD02,981
1916,C10AD03,982
4764,C10AD04,983
76,C10AD06,984
846,C10AX01,985
2269,C10AX02,986
2647,C10AX03,987
1670,C10AX05,988
5074,C10AX08,989
1125,C10AX09,990
5172,C10AX10,991
4747,C10AX11,992
4721,C10AX12,993
5000,C10AX13,994
5016,C10AX14,995
5382,C10AX15,996
1977,D01AA01,997
1885,D01AA02,998
4783,D01AA03,999
3419,D01AA04,1000
4776,D01AA06,1001
3513,D01AA07,1002
1331,D01AA08,1003
719,D01AC01,1004
1800,D01AC02,1005
983,D01AC03,1006
3091,D01AC04,1007
3309,D01AC05,1008
2621,D01AC06,1009
2675,D01AC07,1010
1527,D01AC08,1011
2495,D01AC09,1012
370,D01AC10,1013
3408,D01AC11,1014
1166,D01AC12,1015
1991,D01AC13,1016
2434,D01AC14,1017
1187,D01AC15,1018
1227,D01AC16,1019
978,D01AC17,1020
4813,D01AC18,1021
4874,D01AC19,1022
3040,D01AE01,1023
4670,D01AE02,1024
3625,D01AE03,1025
3446,D01AE04,1026
4693,D01AE05,1027
4328,D01AE06,1028
4734,D01AE08,1029
3557,D01AE09,1030
4773,D01AE10,1031
1355,D01AE11,1032
2416,D01AE12,1033
4274,D01AE13,1034
636,D01AE14,1035
2597,D01AE15,1036
188,D01AE16,1037
3725,D01AE17,1038
3617,D01AE18,1039
3614,D01AE19,1040
1188,D01AE21,1041
1872,D01AE22,1042
444,D01AE23,1043
4877,D01AE24,1044
1331,D01BA01,1045
2597,D01BA02,1046
4264,D02AE01,1047
2049,D02BA01,1048
4236,D02BA02,1049
345,D02BB01,1050
4836,D02BB02,1051
838,D03AX03,1052
2055,D03AX04,1053
3957,D03AX05,1054
4925,D03AX06,1055
4854,D03AX09,1056
3178,D03AX10,1057
4784,D03AX11,1058
2768,D03AX12,1059
5051,D03BA02,1060
2642,D04AA01,1061
2331,D04AA02,1062
2617,D04AA03,1063
2762,D04AA04,1064
606,D04AA09,1065
2286,D04AA10,1066
3618,D04AA12,1067
903,D04AA13,1068
671,D04AA14,1069
288,D04AA15,1070
2132,D04AA16,1071
1507,D04AA22,1072
916,D04AA32,1073
617,D04AA34,1074
1579,D04AB01,1075
859,D04AB02,1076
3016,D04AB03,1077
323,D04AB04,1078
3153,D04AB05,1079
2610,D04AB06,1080
3487,D04AB07,1081
956,D04AX01,1082
226,D05AC01,1083
2759,D05AD01,1084
30,D05AD02,1085
3229,D05AX01,1086
465,D05AX02,1087
466,D05AX03,1088
4727,D05AX04,1089
2571,D05AX05,1090
2759,D05BA01,1091
30,D05BA02,1092
3021,D05BA03,1093
1116,D05BB01,1094
78,D05BB02,1095
802,D06AA01,1096
624,D06AA02,1097
2041,D06AA03,1098
2611,D06AA04,1099
1261,D06AX01,1100
589,D06AX02,1101
4247,D06AX04,1102
281,D06AX05,1103
4265,D06AX07,1104
4739,D06AX08,1105
1857,D06AX09,1106
4028,D06AX10,1107
2379,D06AX11,1108
157,D06AX12,1109
2371,D06AX13,1110
5058,D06AX14,1111
4817,D06AX15,1112
4142,D06BA01,1113
2527,D06BA02,1114
1624,D06BA03,1115
2512,D06BA04,1116
2521,D06BA05,1117
2510,D06BA06,1118
1417,D06BB01,1119
3634,D06BB02,1120
85,D06BB03,1121
3481,D06BB04,1122
3301,D06BB05,1123
2079,D06BB06,1124
4572,D06BB08,1125
3173,D06BB09,1126
1429,D06BB10,1127
940,D06BB11,1128
4785,D06BB12,1129
1790,D06BX01,1130
4226,D06BX02,1131
5431,D06BX03,1132
