Entrez	GeneSymbol	GeneType	UMLS_CUI	Disease	TraitType	Cluster
2309	FOXO3	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
3615	IMPDH2	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
3654	IRAK1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
5290	PIK3CA	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
7015	TERT	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
8349	H2BC21	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_6
10188	TNK2	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
63826	SRR	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
208	AKT2	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
54433	GAR1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
7018	TF	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
23521	RPL13A	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
240	ALOX5	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_12
9113	LATS1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_6
1021	CDK6	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
595	CCND1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
2261	FGFR3	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_13
11200	CHEK2	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
26519	TIMM10	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_14
301	ANXA1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
308	ANXA5	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
1019	CDK4	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
2956	MSH6	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
7153	TOP2A	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
6470	SHMT1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
328	APEX1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
8125	ANP32A	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
1111	CHEK1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
6795	AURKC	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
8894	EIF2S2	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
3726	JUNB	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
1030	CDKN2B	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
2050	EPHB4	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_15
2182	ACSL4	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
2263	FGFR2	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
3070	HELLS	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
3148	HMGB2	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
4916	NTRK3	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
8338	H2AC20	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
9221	NOLC1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
9933	PUM3	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
10110	SGK2	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
10476	ATP5PD	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_16
10769	PLK2	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_17
23678	SGK3	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
27330	RPS6KA6	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
56342	PPAN	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
79711	IPO4	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
